batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
SS Tiwary,middle,869,764,113.7434554973822,116.18860721248043,88768.09591033505,2021
ST Jayasuriya,middle,253,165,153.33333333333334,138.4024286576909,22836.400728519,2009
STR Binny,middle,465,395,117.72151898734178,120.38114290977751,47550.551449362116,2019
SV Samson,middle,2637,1913,137.84631468897018,136.72906751269863,261562.7061517925,2026
SW Billings,middle,254,218,116.51376146788989,120.88347292195817,26352.597096986883,2022
Sachin Baby,middle,48,54,88.88888888888889,117.77057958541657,6359.611297612495,2021
Salman Butt,middle,73,57,128.0701754385965,126.28918379670131,7198.483476411975,2008
Sameer Rizvi,middle,264,179,147.48603351955308,136.16276555285756,24373.135033961506,2026
Shahbaz Ahmed,middle,260,242,107.43801652892562,115.6175613656035,27979.44985047605,2026
Shakib Al Hasan,middle,429,366,117.21311475409837,120.18694174112072,43988.420677250186,2021
Shashank Singh,middle,320,253,126.48221343873519,126.17159445707304,31921.41339763948,2026
Shoaib Malik,middle,26,26,100.0,122.73698785868203,3191.1616843257325,2008
Shubman Gill,middle,1862,1300,143.23076923076923,140.95309318847407,183239.0211450163,2026
Sikandar Raza,middle,127,93,136.55913978494624,129.25303582211365,12020.532331456568,2024
Swapnil Singh,middle,25,26,96.15384615384616,122.28449917089922,3179.39697844338,2024
T Stubbs,middle,358,300,119.33333333333334,121.86843296316914,36560.52988895074,2026
